Food-Name,"Energy-
-kJ","Protein-
-g","Fat
-g","carbohydrate
-g",sugars-g,"Sodium-Na-
-mg","Zinc-Zn-
-mg","Folate
-ug","Pyridoxine-B6-
-mg","Cobalamin-B12-
-ug","Vitamin-D3
-ug","Vitamin-C-
-mg","Vitamin-A
-ug","Iron-Fe-
-mg","Calcium-Ca-
-mg","Selenium-Se-
-ug",per-100g
"Biscuit, sweet, biscuit base, mint filling, chocolate-coated","2,188",6.3,29.4,60.6,42,117,0.85,14,0.04,0,0,0,21,1.75,135,11.1,per 100g
"Biscuit, sweet, sandwich, cream filling, chocolate-coated, tim tam style","2,080",5.4,25.4,63.1,44.7,168,0.62,0,0,0,0,0,21,1.7,90,5.1,per 100g
"Biscuit, sweet, sandwich, cream & jam filling","1,974",4,22.5,64.1,33.5,260,0.45,28,0.04,0.1,0,0,2,0.9,27,11.1,per 100g
"Biscuit, sweet, wheatmeal","1,728",7.8,11.7,67,21.6,423,1.15,28,0.04,0.1,0,0,10,2.1,30,11.1,per 100g
"Cone, wafer style, for ice cream","1,474",7.9,2.3,72.3,0.3,327,0.5,5,0.07,0,0,0,1,2.2,26,11,per 100g
"Breadcrumbs, white","1,598",14,4.1,68.5,4.6,650,1.2,13,0.11,0.1,0,0,0,2,124,15.8,per 100g
"Bread roll, from white flour","1,044",9.3,2.9,44.6,3.4,380,0.82,11,0.06,0,0,0,0,1.26,107,11,per 100g
"Bread, wrap, white, commercial","1,266",7.8,8.4,46.9,5.3,610,0.46,8,0,0,0,0,0,0.95,39,11,per 100g
"Bread, from white flour, sour dough, commercial",961,8.8,1.4,42.9,1.2,490,0.65,8,0.08,0,0,0,0,1.1,21,16,per 100g
"Bread, from white flour, sour dough, commercial, toasted","1,144",10.4,1.7,51.1,1.4,583,0.77,8,0.1,0,0,0,0,1.31,25,19,per 100g
"Bread, from wholemeal flour",993,10.4,2.5,39.2,3.2,418,1.24,18,0.08,0,0,0,0,1.97,133,12.3,per 100g
"Bread, Naan, commercial","1,224",8,7.1,47.8,6,630,0.62,57,0,0.3,0,0,6,1.1,120,8.8,per 100g
"Bread, pizza base, commercial","1,109",8.6,3.3,48.5,3.7,390,0.69,20,0.03,0.3,0,0,0,0.94,70,9.8,per 100g
"Bread, tortilla, white, commercial","1,263",7.3,9,46.3,4.3,750,0.44,8,0,0,0,0,0,0.75,37,13,per 100g
"Bread, damper, from white flour, homemade","1,084",7.5,5.5,42.9,2.9,630,0.66,72,0,0,0,0,29,0.78,53,9.7,per 100g
"Bread, flat (pita or Lebanese), white, commercial","1,102",9.5,2.1,49.1,3.1,498,0.54,10,0.04,0,0,0,0,1.2,50,7.4,per 100g
"Bread, flat (pita or Lebanese), wholemeal, commercial","1,074",8.6,2,47.2,3.1,470,1.2,70,0.19,0.1,0,0,0,2.7,45,10,per 100g
"Bread, from white flour","1,050",9.5,2,46.2,3.1,439,0.81,10,0.08,0,0,0,0,1.35,84,10.7,per 100g
"Bread, from white flour, toasted","1,241",10.8,2.8,54.3,3.7,512,0.96,20,0,0,0,0,0,1.38,150,13.3,per 100g
"Bread, from white flour, added calcium","1,001",9.7,1.8,43.8,2.7,442,1.07,13,0.08,0,0,0,0,1.15,228,10.1,per 100g
"Bread, from white flour, added calcium, toasted","1,164",11.2,2,50.9,3.1,514,1.24,13,0.09,0.1,0,0,0,1.34,265,11.7,per 100g
"Bread, from white flour, added fibre","1,032",9.7,1.7,43.6,2.5,448,0.8,12,0.1,0.1,0,0,0,1.44,56,7,per 100g
"Bread, from white flour, added fibre, toasted","1,229",11.5,2,51.9,3,534,0.96,12,0.12,0.1,0,0,0,1.72,67,8.3,per 100g
"Bread, from white flour, added iron","1,001",9.7,1.8,43.8,2.7,447,0.8,13,0.08,0,0,0,0,7.08,68,7,per 100g
"Bread, from white flour, added iron, toasted","1,164",11.2,2,50.9,3.1,520,0.94,13,0.09,0.1,0,0,0,8.23,79,8.1,per 100g
"Bread, from white flour, added omega-3 polyunsaturates","1,054",9.1,2.1,46.6,2.4,448,0.8,11,0.1,0.1,0,0,0,1.44,56,7,per 100g
"Bread, from white flour, added omega-3 polyunsaturates, toasted","1,226",10.6,2.4,54.2,2.8,521,0.94,11,0.12,0.1,0,0,0,1.68,65,8.1,per 100g
"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe","1,052",8.3,2.3,45.7,3.8,410,0.88,10,0.05,0,0,0,0,4.8,150,21,per 100g
"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe, toasted","1,238",9.8,2.7,53.8,4.5,482,1.04,10,0.06,0,0,0,0,5.65,176,24.7,per 100g
